id,title,type,genres,averageRating,numVotes,releaseYear
tt0285403,Scrubs,tvSeries,"Comedy, Drama",8.4,274052,2001
tt5675620,"The Punisher",tvSeries,"Action, Crime, Drama",8.4,273208,2017
tt0082096,"Das Boot",movie,"Drama, War",8.4,269369,1981
tt12637874,Fallout,tvSeries,"Action, Adventure, Drama",8.4,268555,2024
tt5834204,"The Handmaid's Tale",tvSeries,"Drama, Sci-Fi, Thriller",8.4,264746,2017
tt1119644,Fringe,tvSeries,"Drama, Mystery, Sci-Fi",8.4,261170,2008
tt0032553,"The Great Dictator",movie,"Comedy, Drama, War",8.4,242013,1940
tt0043014,"Sunset Boulevard",movie,"Drama, Film-Noir",8.4,241654,1950
tt3920596,"Big Little Lies",tvSeries,"Crime, Drama, Mystery",8.4,230920,2017
tt0050825,"Paths of Glory",movie,"Drama, War",8.4,218630,1957
tt7221388,"Cobra Kai",tvSeries,"Action, Comedy, Drama",8.4,213683,2018
tt9561862,"Love, Death & Robots",tvSeries,"Action, Adventure, Animation",8.4,205051,2019
tt0285331,24,tvSeries,"Action, Crime, Drama",8.4,199499,2001
tt10155688,"Mare of Easttown",tvMiniSeries,"Crime, Drama, Mystery",8.4,197169,2021
tt3006802,Outlander,tvSeries,"Adventure, Drama, Fantasy",8.4,183733,2014
tt0387199,Entourage,tvSeries,"Comedy, Drama",8.4,178712,2004
tt9253284,Andor,tvSeries,"Action, Adventure, Drama",8.4,178385,2022
tt2401256,"The Night Of",tvMiniSeries,"Crime, Drama, Mystery",8.4,177423,2016
tt7657124,"The Heroes",tvSeries,"Animation, Drama, History",8.4,168620,2008
tt8398600,"After Life",tvSeries,"Comedy, Drama",8.4,157219,2019
tt1474684,Luther,tvSeries,"Crime, Drama, Mystery",8.4,156809,2010
tt0051201,"Witness for the Prosecution",movie,"Crime, Drama, Mystery",8.4,142184,1957
tt0409591,Naruto,tvSeries,"Action, Adventure, Animation",8.4,136573,2002
tt2249364,Broadchurch,tvSeries,"Crime, Drama, Mystery",8.4,130986,2013
tt2017109,Banshee,tvSeries,"Action, Crime, Drama",8.4,130311,2013
tt0458290,"Star Wars: The Clone Wars",tvSeries,"Action, Adventure, Animation",8.4,126325,2008
tt2149175,"The Americans",tvSeries,"Crime, Drama, Mystery",8.4,114461,2013
tt0491738,Psych,tvSeries,"Comedy, Crime, Mystery",8.4,112648,2006
tt8267604,Capernaum,movie,Drama,8.4,110385,2018
tt0118480,"Stargate SG-1",tvSeries,"Action, Adventure, Drama",8.4,103280,1997
tt2788432,"American Crime Story",tvSeries,"Biography, Crime, Drama",8.4,100048,2016
tt9059760,"Normal People",tvMiniSeries,"Drama, Romance",8.4,98009,2020
tt1220617,"The Inbetweeners",tvSeries,Comedy,8.4,96249,2008
tt0060028,"Star Trek",tvSeries,"Action, Adventure, Sci-Fi",8.4,95076,1966
tt6473300,Mirzapur,tvSeries,"Action, Crime, Drama",8.4,87943,2018
tt1442462,"The Good Wife",tvSeries,"Crime, Drama, Mystery",8.4,84565,2009
tt4189022,"Ash vs Evil Dead",tvSeries,"Action, Comedy, Horror",8.4,81497,2015
tt0412253,"Veronica Mars",tvSeries,"Crime, Drama, Mystery",8.4,79330,2004
tt1759761,Veep,tvSeries,Comedy,8.4,66225,2012
tt13616990,"Chainsaw Man",tvSeries,"Action, Adventure, Animation",8.4,64656,2022
tt0262150,"Black Books",tvSeries,Comedy,8.4,62621,2000
tt5249462,Erased,tvMiniSeries,"Animation, Crime, Drama",8.4,62032,2016
tt0995832,"Generation Kill",tvMiniSeries,"Drama, War",8.4,60605,2008
tt0925266,"Pushing Daisies",tvSeries,"Comedy, Drama, Fantasy",8.4,60159,2007
tt0057565,"High and Low",movie,"Crime, Drama, Mystery",8.4,56018,1963
tt2384811,Utopia,tvSeries,"Drama, Mystery, Sci-Fi",8.4,52397,2013
tt1313104,"The Cove",movie,"Biography, Crime, Documentary",8.4,51872,2009
tt0103584,X-Men,tvSeries,"Action, Adventure, Animation",8.4,51276,1992
tt5743796,Warrior,tvSeries,"Action, Crime, Drama",8.4,47588,2019
tt0319969,Carnivàle,tvSeries,"Drama, Fantasy, Mystery",8.4,47488,2003
tt11247158,"The Legend of Vox Machina",tvSeries,"Action, Adventure, Animation",8.4,45815,2022
tt9900782,Kaithi,movie,"Action, Crime, Drama",8.4,44626,2019
tt21626284,"Lost Ladies",movie,"Comedy, Drama",8.4,44586,2023
tt1227926,"Dr. Horrible's Sing-Along Blog",tvMiniSeries,"Comedy, Musical, Sci-Fi",8.4,44458,2008
